"link","name","rating","reviews","businessType","address","phone","openTime","website"
"https://www.google.com/maps/place/Layers+Bakeshop+-+Faisalabad+Kohinoor+City/data=!4m7!3m6!1s0x392269a92a787163:0x791e47b2f310f005!8m2!3d31.4135124!4d73.1161055!16s%2Fg%2F11tn2zv9b3!19sChIJY3F4KqlpIjkRBfAQ87JHHnk?authuser=0&hl=en&rclk=1","Layers Bakeshop - Faisalabad Kohinoor City","4.4","959","Dessert shop","117-A Main Blvd, Kohinoor City Faisalabad, Punjab 37000","0305 4000630","Friday: 9 am–1:30 am | Saturday: 9 am–1:30 am | Sunday: 9 am–1 am | Monday: 9 am–1 am | Tuesday: 9 am–1 am | Wednesday(Quaid-e-Azam's Birthday/Christmas Day)9 am–1 am Hours might differ | Thursday: 9 am–1 am","https://layers.pk/"
"https://www.google.com/maps/place/Layers+Bakeshop+-+Faisalabad+Civil+Lines/data=!4m7!3m6!1s0x392243e7585c6141:0xf77ed09deac099b0!8m2!3d31.4327413!4d73.0803209!16s%2Fg%2F11kbrc4_yx!19sChIJQWFcWOdDIjkRsJnA6p3Qfvc?authuser=0&hl=en&rclk=1","Layers Bakeshop - Faisalabad Civil Lines","4.5","295","Dessert shop","21/7 Bilal Rd, Civil Lines, Faisalabad, Punjab 38000","0305 4000165","Friday: 9 am–1:30 am | Saturday: 9 am–1:30 am | Sunday: 9 am–1 am | Monday: 9 am–1 am | Tuesday: 9 am–1 am | Wednesday(Quaid-e-Azam's Birthday/Christmas Day)9 am–1 am Hours might differ | Thursday: 9 am–1 am","http://www.layers.pk/"
"https://www.google.com/maps/place/Layers+Bakeshop+-+Canal+Faisalabad/data=!4m7!3m6!1s0x392269006f535b5b:0xac74bad3b8f52330!8m2!3d31.4509927!4d73.1531791!16s%2Fg%2F11lnhwvtgj!19sChIJW1tTbwBpIjkRMCP1uNO6dKw?authuser=0&hl=en&rclk=1","Layers Bakeshop - Canal Faisalabad","4.7","35","Dessert shop","Plot No-15, Green Avenue Commercial Market, 204-RB, Road, Faisalabad, 38000","0320 4000139","Friday: 9 am–1 am | Saturday: 9 am–1 am | Sunday: 9 am–1 am | Monday: 9 am–1 am | Tuesday: 9 am–1 am | Wednesday(Quaid-e-Azam's Birthday/Christmas Day)9 am–1 am Hours might differ | Thursday: 9 am–1 am","https://www.layers.pk/"
"https://www.google.com/maps/place/Layallpur+Sweet%27s+and+Bakers/data=!4m7!3m6!1s0x3922430b539a3a27:0xb85732f377553b12!8m2!3d31.409973!4d73.0324477!16s%2Fg%2F11j0vxg2cw!19sChIJJzqaUwtDIjkREjtVd_MyV7g?authuser=0&hl=en&rclk=1","Layallpur Sweet's and Bakers","4.2","21","Bakery","Plot 658, Ali Housing Colony, Faisalabad, Punjab","0302 3139000","Friday: 7 am–11 pm | Saturday: 7 am–11 pm | Sunday: 7 am–11 pm | Monday: 7 am–11 pm | Tuesday: 7 am–11 pm | Wednesday(Quaid-e-Azam's Birthday/Christmas Day)7 am–11 pm Hours might differ | Thursday: 7 am–11 pm","N/A"
